,Unnamed: 0.1,Unnamed: 0,link,download
0,0,0,https://tracnghiem.net/huong-nghiep/600-cau-trac-nghiem-ly-thuyet-bang-lai-xe-oto-b2-c-d-e-co-dap-an-2020-19.html,Yes
1,1,1,https://tracnghiem.net/thptqg/de-minh-hoa-ki-thi-tot-nghiep-thpt-nam-2022-mon-dia-li-bo-gd-dt-5083.html,Yes
2,2,2,https://tracnghiem.net/thptqg/de-minh-hoa-ki-thi-tot-nghiep-thpt-nam-2022-mon-hoa-hoc-bo-gd-dt-5084.html,Yes
3,3,3,https://tracnghiem.net/thptqg/de-minh-hoa-ki-thi-tot-nghiep-thpt-nam-2022-mon-vat-ly-bo-gd-dt-5085.html,Yes
4,4,4,https://tracnghiem.net/thptqg/de-thi-hk2-mon-hoa-hoc-12-nam-2021-2022-5103.html,Yes
5,5,5,https://tracnghiem.net/thptqg/de-thi-hk2-mon-vat-ly-12-nam-2021-2022-5116.html,
6,6,6,https://tracnghiem.net/thptqg/de-thi-hk2-mon-gdcd-12-nam-2021-2022-5117.html,
7,7,7,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-5479.html,
8,8,8,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-5465.html,
9,9,9,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-5457.html,
10,10,10,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-5450.html,
11,11,11,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-5077.html,
12,12,12,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-5057.html,
13,13,13,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-5051.html,
14,14,14,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-5044.html,
15,15,15,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-5036.html,
16,16,16,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-5029.html,
17,17,17,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-5010.html,
18,18,18,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-5002.html,
19,19,19,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-4992.html,
20,20,20,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-toan-4983.html,
21,21,21,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-vat-ly-truong-thpt-tran-quy-cap-5472.html,
22,22,22,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-vat-ly-truong-thpt-cao-thang-5468.html,
23,23,23,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-vat-ly-truong-thpt-do-dang-tuyen-5464.html,
24,24,24,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-vat-ly-truong-thpt-thai-phien-5453.html,
25,25,25,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-vat-ly-truong-thpt-chuyen-lam-son-5445.html,
26,26,26,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-vat-ly-truong-thpt-nguyen-truong-to-5437.html,
27,27,27,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-vat-ly-truong-thpt-le-quang-chi-5434.html,
28,28,28,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-vat-ly-truong-thpt-nguyen-binh-khiem-5430.html,
29,29,29,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-vat-ly-truong-thpt-chuyen-le-quy-don-5429.html,
30,30,30,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-vat-ly-truong-thpt-nguyen-luong-bang-5073.html,
31,31,31,https://tracnghiem.net/thptqg/de-thi-thu-thpt-qg-nam-2022-mon-vat-ly-truong-thpt-tran-van-lan-5068.html,
