,Unnamed: 0,link,download
0,0,https://tracnghiem.net/cntt/320-cau-hoi-trac-nghiem-lap-trinh-c-co-dap-an-82.html,Yes
1,1,https://tracnghiem.net/cntt/320-cau-hoi-trac-nghiem-lap-trinh-c-co-dap-an-82.html?mode=part&part=2,Yes
2,2,https://tracnghiem.net/cntt/320-cau-hoi-trac-nghiem-lap-trinh-c-co-dap-an-82.html?mode=part&part=3,Yes
3,3,https://tracnghiem.net/cntt/320-cau-hoi-trac-nghiem-lap-trinh-c-co-dap-an-82.html?mode=part&part=4,Yes
4,4,https://tracnghiem.net/cntt/320-cau-hoi-trac-nghiem-lap-trinh-c-co-dap-an-82.html?mode=part&part=5,Yes
5,5,https://tracnghiem.net/cntt/200-cau-trac-nghiem-mon-cong-nghe-phan-mem-351.html,Yes
6,6,https://tracnghiem.net/cntt/200-cau-trac-nghiem-mon-cong-nghe-phan-mem-351.html?mode=part&part=2,Yes
7,7,https://tracnghiem.net/cntt/200-cau-trac-nghiem-mon-cong-nghe-phan-mem-351.html?mode=part&part=3,Yes
8,8,https://tracnghiem.net/cntt/200-cau-trac-nghiem-mon-cong-nghe-phan-mem-351.html?mode=part&part=4,Yes
9,9,https://tracnghiem.net/cntt/200-cau-trac-nghiem-mon-cong-nghe-phan-mem-351.html?mode=part&part=5,Yes
10,10,https://tracnghiem.net/cntt/200-cau-trac-nghiem-mon-cong-nghe-phan-mem-351.html?mode=part&part=6,Yes
11,11,https://tracnghiem.net/cntt/200-cau-trac-nghiem-mon-cong-nghe-phan-mem-351.html?mode=part&part=7,Yes
12,12,https://tracnghiem.net/cntt/200-cau-trac-nghiem-mon-cong-nghe-phan-mem-351.html?mode=part&part=8,Yes
13,13,https://tracnghiem.net/cntt/200-cau-trac-nghiem-mon-cong-nghe-phan-mem-351.html?mode=part&part=9,Yes
14,14,https://tracnghiem.net/cntt/250-cau-hoi-trac-nghiem-lap-trinh-php-co-dap-an-81.html,Yes
