,Unnamed: 0,Link,download
0,0,https://tailieu.vn/doc/tieu-luan-chu-nghia-xa-hoi-khoa-hoc-quan-diem-cua-chu-nghia-mac-lenin-ve-su-menh-lich-su-cua-giai-c-2535728.html,Yes
1,1,https://tailieu.vn/doc/khoa-luan-tot-nghiep-phan-tich-cac-nhan-to-anh-huong-den-quyet-dinh-su-dung-dich-vu-vien-thong-di-d-2533630.html,Yes
2,2,https://tailieu.vn/doc/khoa-luan-tot-nghiep-phan-tich-cac-nhan-to-anh-huong-den-quyet-dinh-mua-cua-khach-hang-tai-cong-ty--2533629.html,
3,3,https://tailieu.vn/doc/khoa-luan-tot-nghiep-phan-tich-cac-nhan-to-anh-huong-den-quyet-dinh-lua-chon-san-pham-tour-du-lich--2533628.html,
4,4,https://tailieu.vn/doc/khoa-luan-tot-nghiep-phat-trien-dich-vu-the-tai-ngan-hang-thuong-mai-co-phan-sai-gon-ha-noi-shb--2533627.html,
5,5,https://tailieu.vn/doc/tuyen-chon-35-de-trac-nghiem-on-thi-tot-nghiep-thpt-mon-tieng-anh-nam-2021-co-dap-an--2338124.html,
6,6,https://tailieu.vn/doc/sang-kien-kinh-nghiem-tieu-hoc-van-dung-phuong-phap-day-hoc-tich-cuc-trong-mon-tieng-viet-2390506.html,
7,7,https://tailieu.vn/doc/de-cuong-on-tap-giua-hoc-ki-2-mon-lich-su-lop-12-nam-2020-2021-truong-thpt-uong-bi-2383965.html,
8,8,https://tailieu.vn/doc/de-thi-vao-lop-10-mon-tieng-anh-nam-2021-2022-co-dap-an-so-gd-dt-ha-noi-2405429.html,
9,9,https://tailieu.vn/doc/bai-giang-vat-lieu-co-khi-pham-van-thuan-2535740.html,
10,10,https://tailieu.vn/doc/bao-cao-ket-qua-nghien-cuu-thuc-te-nghien-cuu-viec-thuc-hien-duong-loi-cua-dang-gan-tang-truong-kin-2535738.html,
11,11,https://tailieu.vn/doc/de-cuong-mon-lich-su-dang-ts-nguyen-thi-hao-2535735.html,
12,12,https://tailieu.vn/doc/dac-diem-cua-le-hoi-truyen-thong-viet-nam-2535734.html,
13,13,https://tailieu.vn/doc/tieu-luan-xa-hoi-hoc-kinh-te-thuc-trang-viec-lam-cua-sinh-vien-sau-khi-tot-nghiep-hien-nay-nghien--2535733.html,
14,14,https://tailieu.vn/doc/tieu-luan-xa-hoi-hoc-van-hoa-hanh-vi-le-chua-cua-nguoi-dan-noi-thanh-ha-noi-hien-nay-khao-sat-tai--2535732.html,
15,15,https://tailieu.vn/doc/bai-tap-xa-hoi-hoc-nong-thon-y-te-thuc-trang-su-dung-dich-vu-y-te-cua-nguoi-dan-xa-quat-dong-hu-2535731.html,
16,16,https://tailieu.vn/doc/khoa-luan-tot-nghiep-phat-trien-dich-vu-thanh-toan-khong-dung-tien-mat-tai-ngan-hang-thuong-mai-co--2533626.html,
17,17,https://tailieu.vn/doc/khoa-luan-tot-nghiep-phat-trien-dich-vu-ngan-hang-dien-tu-tai-ngan-hang-nong-nghiep-va-phat-trien-n-2533625.html,
18,18,https://tailieu.vn/doc/khoa-luan-tot-nghiep-nang-cao-nang-luc-canh-tranh-cua-cong-ty-co-phan-du-lich-viet-nam-vitours-tai--2533617.html,
19,19,https://tailieu.vn/doc/khoa-luan-tot-nghiep-nang-cao-hieu-qua-hoat-dong-ban-hang-tai-cong-ty-trach-nhiem-huu-han-dau-tu-th-2533613.html,
20,20,https://tailieu.vn/doc/khoa-luan-tot-nghiep-giai-phap-phat-trien-dich-vu-ban-le-tai-ngan-hang-thuong-mai-co-phan-dau-tu-va-2533590.html,
21,21,https://tailieu.vn/doc/khoa-luan-tot-nghiep-hoan-thien-chinh-sach-phan-phoi-cho-dai-ly-cap-mot-cua-cong-ty-trach-nhiem-huu-2533588.html,
