,Unnamed: 0,Unnamed: 0.1,link,download
0,0,0,https://www.tailieugiaovien.com/,Die
1,1,1,https://www.tailieugiaovien.com/2022/08/giao-an-chuyen-de-toan-lop-10-11-12-moi-nhat.html,Yes
2,2,2,https://www.tailieugiaovien.com/p/tai-lieu-toan.html,Die
3,3,3,https://www.tailieugiaovien.com/p/tai-lieu-mon-vat-ly-file-word.html,Die
4,4,4,https://www.tailieugiaovien.com/p/tai-lieu-hoa-hoc.html,Die
5,5,5,https://www.tailieugiaovien.com/p/tai-lieu-sinh-hoc-6-7-8-9-10-11-12.html,Die
6,6,6,https://www.tailieugiaovien.com/search/label/tieng-anh,Die
7,7,7,https://www.tailieugiaovien.com/p/tai-lieu-ngu-van.html,Die
8,8,8,https://www.tailieugiaovien.com/p/tai-lieu-lich-su.html,Die
9,9,9,https://www.tailieugiaovien.com/p/tai-lieu-dia-ly-lop-6-7-8-9-10-12.html,Die
10,10,10,https://www.tailieugiaovien.com/search/label/giao-duc-cong-dan,Die
11,11,11,https://www.tailieugiaovien.com/p/de-thi-thu-thpt-quoc-gia.html,Die
12,12,12,https://www.tailieugiaovien.com/2021/03/de-thi-thu-thpt-quoc-gia-2021-co-loi-giai.html,Die
13,13,13,https://www.tailieugiaovien.com/p/bo-de-thi-thu-thpt-quoc-gia-2020.html,Die
14,14,14,https://www.tailieugiaovien.com/p/de-thi-thu-thpt-quoc-gia-2019-file-word.html,Die
15,15,15,https://www.tailieugiaovien.com/p/chuyen-de-toan-file-word.html,Yes
16,16,16,https://www.tailieugiaovien.com/2021/08/giao-an-toan-6-7-8-9-10-11-12-cv-5512.html,Yes
17,17,17,https://www.tailieugiaovien.com/2021/08/cam-nang-toan-dang-viet-hung-lop-10-11-12-.html,Die
18,18,18,https://www.tailieugiaovien.com/2021/05/de-thi-tuyen-sinh-vao-10-mon-toan-chuyen-de-giang-day-luyen-thi-vao-10.html,Yes
19,19,19,https://www.tailieugiaovien.com/p/de-thi-hoc-sinh-gioi-toan-file-word.html,Yes
20,20,20,https://www.tailieugiaovien.com/2019/06/chuyen-de-toan-dang-viet-dong-file-word.html,Die
21,21,21,https://www.tailieugiaovien.com/2021/12/de-thi-thu-thpt-quoc-gia-2022-mon-toan.html,Yes
22,22,22,https://www.tailieugiaovien.com/p/chuyen-de-vat-ly-file-word.html,Yes
23,23,23,https://www.tailieugiaovien.com/2021/02/giao-an-vat-ly-6-7-8-9-10-11-12-cv5512-.html,Yes
24,24,24,https://www.tailieugiaovien.com/p/chuyen-de-boi-duong-hoc-sinh-gioi-vat-ly.html,Yes
25,25,25,https://www.tailieugiaovien.com/2021/09/chuyen-de-bai-tap-vat-ly-10-11-12-dang-viet-hung.html,Die
26,26,26,https://www.tailieugiaovien.com/2019/08/bo-chuyen-e-vat-ly-day-du-lop-10-11-12-nam-2020-file-word.html,Die
27,27,27,https://www.tailieugiaovien.com/2021/12/de-thi-thu-thpt-quoc-gia-2022-vat-ly.html,Yes
28,28,28,https://www.tailieugiaovien.com/2022/02/de-thi-thu-thpt-quoc-gia-2022-hoa-hoc.html,Yes
29,29,29,https://www.tailieugiaovien.com/p/chuyen-de-hoa-hoc-file-word.html,Yes
30,30,30,https://www.tailieugiaovien.com/2021/08/giao-an-hoa-hoc-cv-5512-lop-8-9-10-11-12.html,Yes
31,31,31,https://www.tailieugiaovien.com/p/cac-chuyen-de-boi-duong-hoc-sinh-gioi.html,Yes
32,32,32,https://www.tailieugiaovien.com/p/de-thi-kiem-tra-hoc-ky-1-2-mon-hoa-hoc.html,Yes
33,33,33,https://www.tailieugiaovien.com/2019/08/tu-duy-hoa-hoc-NAP-4.0-nguyen-anh-phong-file-word.html,Yes
34,34,34,https://www.tailieugiaovien.com/2022/02/de-thi-thu-thpt-quoc-gia-2022-sinh-hoc.html,Yes
35,35,35,https://www.tailieugiaovien.com/2021/08/giao-an-sinh-hoc-cv-5512-lop-6-7-8-9-10-11-12.html,Yes
36,36,36,https://www.tailieugiaovien.com/p/chuyen-de-sinh-hoc-lop-6-7-8-9-10-11-12.html,Yes
37,37,37,https://www.tailieugiaovien.com/2020/12/giao-an-sinh-hoc-6-7-8-9-10-11-12-theo-chu-de-va-cv3280-.html,Yes
38,38,38,https://www.tailieugiaovien.com/p/tai-lieu-on-thi-thpt-quoc-gia-mon-sinh.html,Yes
39,39,39,https://www.tailieugiaovien.com/2022/02/de-thi-thu-thpt-quoc-gia-2022-mon-tieng-anh.html,Yes
40,40,40,https://www.tailieugiaovien.com/p/chuyen-de-tieng-anh-6-7-8-9-10-11-12.html,Yes
41,41,41,https://www.tailieugiaovien.com/2021/01/giao-an-tieng-anh-6-7-8-9-10-11-12-thi-diem.html,Yes
42,42,42,https://www.tailieugiaovien.com/2022/02/de-thi-thu-thpt-quoc-gia-2022-mon-ngu-van.html,Yes
43,43,43,https://www.tailieugiaovien.com/p/chuyen-de-ngu-van.html,Yes
44,44,44,https://www.tailieugiaovien.com/2021/02/giao-an-ngu-van-6-7-8-9-10-11-12-cv5512.html,Yes
45,45,45,https://www.tailieugiaovien.com/2022/02/de-thi-thu-thpt-quoc-gia-2022-mon-lich-su.html,Yes
46,46,46,https://www.tailieugiaovien.com/p/chuyen-de-lich-su-lop-6-7-8-9-10-11-12.html,Yes
47,47,47,https://www.tailieugiaovien.com/2021/08/giao-an-lich-su-cv-5512-lop-6-7-8-9-10-11-12.html,Yes
48,48,48,https://www.tailieugiaovien.com/2020/11/giao-an-lich-su-lop-6-7-8-9-10-11-12-file-word.html,Yes
49,49,49,https://www.tailieugiaovien.com/2020/11/de-thi-thu-thpt-quoc-gia-2021-mon-dia-ly.html,Yes
50,50,50,https://www.tailieugiaovien.com/p/chuyen-de-dia-ly-6-7-8-9-10-11-12.html,Yes
51,51,51,https://www.tailieugiaovien.com/2021/08/giao-an-dia-ly-cv-5512-lop-6-7-8-9-10-11-12.html,Yes
52,52,52,https://www.tailieugiaovien.com/search/label/h%C3%B3a%20h%E1%BB%8Dc,Die
53,53,53,https://www.tailieugiaovien.com/p/tai-lieu-chuyen-de-mon-sinh-hoc-thpt.html,Die
54,54,54,https://www.tailieugiaovien.com/search/label/ti%E1%BA%BFng%20anh,Die
55,55,55,https://www.tailieugiaovien.com/search/label/ngu-van,Die
56,56,56,https://www.tailieugiaovien.com/search/label/dia-ly?&max-result=6,Die
57,57,57,https://www.tailieugiaovien.com/search/label/lich-su?&max-result=6,Die
58,58,58,https://www.tailieugiaovien.com/search?&max-result=6,Die
59,59,59,https://www.tailieugiaovien.com/search/label/mon-toan,Die
60,60,60,https://www.tailieugiaovien.com/search/label/m%C3%B4n%20to%C3%A1n,Die
61,61,61,https://www.tailieugiaovien.com/search/label/tai-lieu-2022-2023,Die
62,62,62,https://www.tailieugiaovien.com/2022/07/chuyen-de-toan-10-ket-noi-tri-thuc-voi-cuoc-song.html,Die
63,63,63,https://www.tailieugiaovien.com/2022/02/de-thi-danh-gia-nang-luc-dai-hoc-2022.html,Yes
64,64,64,https://www.tailieugiaovien.com/search/label/de-thi-thu-thpt-2022,Die
65,65,65,https://www.tailieugiaovien.com/search/label/DGNL,Die
66,66,66,https://www.tailieugiaovien.com/search/label/%C4%91%C3%A1nh%20gi%C3%A1%20n%C4%83ng%20l%E1%BB%B1c,Die
67,67,67,https://www.tailieugiaovien.com/search/label/%C4%91%E1%BB%81%20thi%20th%E1%BB%AD%20THPT%202022,Die
68,68,68,https://www.tailieugiaovien.com/search?updated-max=2022-02-23T18:51:00-08:00&max-results=7,Die
69,69,69,https://www.tailieugiaovien.com/p/giao-an.html,Die
70,70,70,https://www.tailieugiaovien.com#,Die
71,71,71,https://www.tailieugiaovien.com/search/label/%C4%91%E1%BB%81%20thi%20th%E1%BB%AD%20thpt%202019,Die
72,72,72,https://www.tailieugiaovien.com/search/label/v%E1%BA%ADt%20l%C3%BD,Die
73,73,73,https://www.tailieugiaovien.com/search/label/B%E1%BB%99%20%C4%91%E1%BB%81%202020,Die
74,74,74,https://www.tailieugiaovien.com/search/label/%C4%91%E1%BB%81%20thi%20th%E1%BB%AD%20thpt%202018,Die
75,75,75,https://m.me/107944841016394?ref=tailieugiaovien,Die
76,76,76,https://www.tailieugiaovien.com/2022/08/giao-an-chuyen-de-toan-lop-10-11-12-moi-nhat.html#huong-dan-dang-ky,Yes
77,77,77,https://www.tailieugiaovien.com/2020/10/giao-an-toan-giam-tai-theo-cv-3280-bo-GD-2021-file-word.html,Yes
78,78,78,https://www.tailieugiaovien.com/search/label/on-thi-thpt-toan,Die
79,79,79,https://www.tailieugiaovien.com/2020/10/giao-an-vat-ly-cv-3280-giam-tai-bo-GD-2021-file-word.html,Yes
80,80,80,https://www.tailieugiaovien.com/search/label/vat-ly,Die
81,81,81,https://www.tailieugiaovien.com/2020/11/de-thi-thu-thpt-quoc-gia-2021-mon-hoa-hoc.html,Yes
82,82,82,https://www.tailieugiaovien.com/search/label/on-thi-thpt-hoa-hoc,Die
83,83,83,https://www.tailieugiaovien.com/2020/11/de-thi-thu-thpt-quoc-gia-2021-mon-sinh-hoc.html,Yes
84,84,84,https://www.tailieugiaovien.com/2021/08/giao-an-tieng-anh-cv-5512-lop-6-7-8-9-10-11-12.html,Yes
85,85,85,https://www.tailieugiaovien.com/search/label/tieng-anh?updated-max=2021-10-10T06:54:00-07:00&max-results=20&start=2&by-date=false,Die
86,86,86,https://www.tailieugiaovien.com/2021/10/giao-an-ca-nam-va-giao-an-powepoint-ngu-van-6-canh-dieu-chan-troi-sang-tao-ket-noi-tri-thuc-voi-cuoc-song.html,Yes
87,87,87,https://www.tailieugiaovien.com/2020/10/giao-an-ngu-van.html,Yes
88,88,88,https://www.tailieugiaovien.com/2020/11/de-thi-thu-thpt-quoc-gia-2021-mon-lich-su.html,Yes
89,89,89,https://www.tailieugiaovien.com/search/label/lich-su,Die
90,90,90,https://www.tailieugiaovien.com/2020/11/giao-an-dia-ly-lop-6-7-8-9-10-11-12-file-word.html,Yes
91,91,91,https://www.tailieugiaovien.com/search/label/dia-ly,Die
92,92,92,https://www.tailieugiaovien.com/2022/02/de-thi-thu-thpt-quoc-gia-2022-mon-GDCD.html,Yes
93,93,93,https://www.tailieugiaovien.com/search/label/Gi%C3%A1o%20d%E1%BB%A5c%20c%C3%B4ng%20d%C3%A2n,Die
94,94,94,https://www.tailieugiaovien.com/2021/01/de-thi-thu-thpt-quoc-gia-2021-mon-gdcd.html,Yes
95,95,95,https://www.tailieugiaovien.com/2020/01/bo-de-thi-thu-thpt-quoc-gia-mon-GDCD-2020-file-word.html,Die
96,96,96,https://www.tailieugiaovien.com/2019/03/de-thi-thu-thpt-quoc-gia-gdcd-2019.html,Die
97,97,97,https://www.tailieugiaovien.com/search/label/giao-duc-cong-dan?updated-max=2019-03-08T01:41:00-08:00&max-results=20&start=20&by-date=false,Die
98,98,98,https://www.tailieugiaovien.com/2020/11/de-thi-thu-thpt-quoc-gia-2021-mon-toan.html,Yes
99,99,99,https://www.tailieugiaovien.com/2020/11/de-thi-thu-thpt-quoc-gia-2021-mon-vat-ly.html,Yes
100,100,100,https://www.tailieugiaovien.com/2020/11/de-thi-thu-thpt-quoc-gia-2021-mon-tieng-anh.html,Yes
101,101,101,https://www.tailieugiaovien.com/2020/11/de-thi-thu-thpt-quoc-gia-2021-mon-ngu-van.html,Yes
102,102,102,https://www.tailieugiaovien.com/2020/01/bo-de-thi-thu-thpt-quoc-gia-mon-lich-su-2020-file-word.html,Die
103,103,103,https://www.tailieugiaovien.com/2019/11/bo-de-thi-thu-thpt-quoc-gia-mon-toan-2020-file-word.html,Die
104,104,104,https://www.tailieugiaovien.com/2019/12/bo-de-thi-thu-thpt-quoc-gia-mon-vat-ly-2020-file-word.html,Die
105,105,105,https://www.tailieugiaovien.com/2020/01/bo-de-thi-thu-thpt-quoc-gia-mon-hoa-hoc-2020-file-word.html,Die
